latitude,longitude,salinity,pressure,tritium
23.01666667,-60,35.43,0.782614817,0.41
23.01666667,-60,35.742,0.652325758,1.42
23.01666667,-60,36.207,0.548350877,3.88
21.98333333,-62.06666667,35.127,2.628768254,0.01
21.98333333,-62.06666667,35.1,1.673325142,0.14
21.98333333,-62.06666667,35.109,1.43408995,0.17
21.98333333,-62.06666667,35.259,1.266980183,0.19
21.98333333,-62.06666667,35.26,1.056498486,0.18
21.98333333,-62.06666667,35.302,0.840151714,0.1
21.98333333,-62.06666667,35.714,0.760338194,0.17
21.98333333,-62.06666667,35.683,0.638147282,0.34
21.01666667,-63.98333333,35.063,3.057831451,0.14
21.01666667,-63.98333333,35.229,2.601107325,0.17
21.01666667,-63.98333333,35.118,1.57182673,0.28
21.01666667,-63.98333333,35.109,1.502903823,0.29
21.01666667,-63.98333333,35.098,1.146466039,0.49
21.01666667,-63.98333333,35.233,0.758271701,0.15
21.01666667,-63.98333333,35.804,0.709794702,1.21
21.01666667,-63.98333333,35.88,0.565435776,1.32
20,-66,35.016,1.877051446,0.17
20,-66,34.982,2.06999521,0.08
20,-66,34.972,2.272257809,0.23
20,-66,34.967,2.561232846,0.29
20,-66,34.961,3.040293564,0.12
20,-66,34.93,3.858105169,0.2
20,-66,34.93,4.436486732,0.17
20,-66,34.898,4.678955623,0.25
20,-66,35.024,1.556524862,0.1
20,-66,35.024,1.30630681,0.44
20,-66,34.945,1.076596144,0.15
20,-66,35.012,0.871371687,0.09
20,-66,35.513,0.732976701,0.13
20,-66,35.645,0.667344741,0.39
20,-66,35.88,0.586593322,1.56
20,-66,36.439,0.449382624,3.53
20,-66,36.194,0.379800456,4.81
20,-66,36.559,0.254808442,5.5
20,-66,36.056,0.21047316,5.66
19,-65.96666667,34.821,1.595965327,0.22
19,-65.96666667,35.024,1.210073056,0.48
19,-65.96666667,35.024,0.983507361,0.12
19,-65.96666667,34.945,0.824845709,0.16
19,-65.96666667,35.012,0.77131014,0.18
19,-65.96666667,35.225,0.698603065,0.31
19,-65.96666667,35.513,0.604724661,0.41
19,-65.96666667,35.645,0.59463255,2.46
19,-65.96666667,35.88,0.4291867,2.78
19,-65.96666667,36.439,0.390869094,5.2
19,-65.96666667,36.445,0.309213921,5.52
19,-65.96666667,37.003,0.264870472,5.34
28.01666667,-76.5,35.039,1.546228519,0.33
28.01666667,-76.5,35.035,1.260432836,0.68
28.01666667,-76.5,35.055,1.162211709,0.71
28.01666667,-76.5,35.095,1.149051333,0.54
28.01666667,-76.5,35.138,1.072129253,0.41
27.93333333,-76.53333333,35.051,1.173340501,0.63
27.93333333,-76.53333333,35.016,1.472201397,0.43
27.93333333,-76.53333333,35.016,1.77146305,0.15
27.93333333,-76.53333333,34.993,2.358981041,0.08
27.93333333,-76.53333333,35.013,2.65026567,0.1
27.93333333,-76.53333333,34.996,2.946014989,0.35
27.93333333,-76.53333333,34.963,3.241137502,0.54
28,-75.98333333,35.218,1.748125322,0.25
28,-75.98333333,35.039,1.473222723,0.61
28,-75.98333333,35.079,1.300947304,0.64
28,-75.98333333,35.138,1.15714845,0.65
28,-75.98333333,35.146,1.014453757,0.51
28,-75.98333333,35.386,0.929487415,0.61
28,-74,34.996,3.02258173,0.24
28,-74,34.961,2.621744938,0.16
28,-74,34.968,2.589138684,0.21
28,-74,35.035,1.379974816,0.27
28,-74,35.035,1.228023642,0.58
28,-74,35.056,1.091355893,0.76
28,-74,35.188,1.074151802,0.62
28,-74,35.123,0.821303191,0.3
28,-72,36.662,3.111414642,0.41
28,-72,35.017,2.746100234,0.21
28,-72,35.017,1.511749535,0.27
28,-72,35.059,1.500596353,0.4
28,-72,34.965,1.123743655,0.51
28,-72,35.132,0.837476946,0.41
32.33333333,-63.46666667,34.974,3.014454829,0.25
32.33333333,-63.46666667,34.984,2.415827859,0.12
32.33333333,-63.46666667,34.981,1.856393892,0.35
32.33333333,-63.46666667,35.074,1.400732092,0.88
32.33333333,-63.46666667,35.094,1.182871237,1.15
32.33333333,-63.46666667,35.291,0.892383021,1.72
32.33333333,-63.46666667,36.427,0.377113154,5.17
32.33333333,-63.46666667,36.643,0.015112668,4.42
28.03333333,-76.41666667,35.079,2.659458755,0.42
28.03333333,-76.41666667,35.193,2.250119374,0.1
28.03333333,-76.41666667,35.121,1.438760696,0.45
28.03333333,-76.41666667,35.331,1.210812134,0.77
28.03333333,-76.41666667,35.336,1.125770932,0.7
28.03333333,-76.41666667,35.428,0.967923052,0.62
28.03333333,-76.41666667,35.15,4.028383144,0.3
28.03333333,-76.41666667,34.98,3.826448088,0.45
28.03333333,-76.41666667,35.039,3.66871874,0.43
28.03333333,-76.41666667,35,3.453814529,0.62
28.03333333,-76.41666667,34.965,3.284085513,0.4
28.03333333,-76.41666667,34.965,3.110401418,0.46
28.03333333,-76.41666667,34.965,2.722657904,0.46
32.96666667,-62.56666667,35.433,0.809498808,2.03
32.96666667,-62.56666667,35.395,0.85702913,1.42
32.96666667,-62.56666667,35.206,0.914685841,1.02
32.96666667,-62.56666667,35.194,0.966286027,1.2
32.96666667,-62.56666667,35.13,1.008789241,1.32
32.96666667,-62.56666667,35.232,1.062435786,1.4
32.96666667,-62.56666667,35.28,1.116095211,1.39
32.96666667,-62.56666667,35.247,1.214335473,1.17
32.96666667,-62.56666667,35.109,1.320726753,1.07
32.96666667,-62.56666667,35.137,1.425140821,1.04
32.96666667,-62.56666667,35.054,1.63919032,0.75
32.96666667,-62.56666667,35.158,1.822970156,0.55
32.96666667,-62.56666667,34.981,2.456700864,0.17
32.96666667,-62.56666667,35.07,3.204649448,0.23
32.96666667,-62.56666667,34.93,3.84952297,0.26
32.96666667,-62.56666667,35.091,5.015068788,0.14
32.96666667,-62.56666667,36.614,0.016121072,4.44
32.96666667,-62.56666667,35.748,0.713457697,2.74
32.96666667,-62.56666667,35.868,0.67101055,3.91
32.96666667,-62.56666667,36.033,0.610385726,3.79
32.96666667,-62.56666667,36.181,0.547757311,4.09
32.96666667,-62.56666667,36.481,0.364013668,4.86
32.96666667,-62.56666667,36.523,0.141098644,4.58
32.96666667,-62.56666667,36.591,0.09170403,4.95
32.96666667,-62.56666667,36.598,0.07255394,4.46
32.96666667,-62.56666667,35.56,0.058444393,4.28
33.3,-61.41666667,35.11,1.901252748,0.36
33.3,-61.41666667,35.032,1.249829006,1.65
33.3,-61.41666667,35.077,1.08271376,1.29
33.3,-61.41666667,35.16,0.940005154,1.34
33.3,-61.41666667,35.362,0.840871238,1.26
33.3,-61.41666667,36.156,0.55080287,3.96
33.68333333,-60.33333333,35.165,1.196175103,1.59
33.68333333,-60.33333333,35.2,1.282295725,1.82
33.68333333,-60.33333333,35.121,1.297496931,1.4
33.68333333,-60.33333333,35.096,1.434354388,1.25
33.68333333,-60.33333333,35.041,1.607827778,1.24
33.68333333,-60.33333333,34.998,2.004991419,0.31
33.68333333,-60.33333333,34.942,3.376640112,0.19
33.68333333,-60.33333333,34.888,3.854886795,0.23
33.68333333,-60.33333333,35.092,4.58397783,0.37
33.9,-59.21666667,35.181,1.03822406,1.41
33.9,-59.21666667,36.405,0.463980285,4.9
33.9,-59.21666667,35.03,2.034514775,0.59
33.9,-59.21666667,35.192,1.398890796,1.7
33.9,-59.21666667,35.132,1.230642249,1.37
34.13333333,-58,35.959,0.807556872,1.3
34.13333333,-58,35.708,0.859137484,1.32
34.13333333,-58,35.539,0.924894725,1.19
34.13333333,-58,35.429,0.953226881,1.37
34.13333333,-58,35.363,1.009901967,1.28
34.13333333,-58,35.342,1.076716058,1.61
34.13333333,-58,35.217,1.110130596,1.61
34.13333333,-58,35.189,1.228640613,1.59
34.13333333,-58,35.069,1.314777093,1.56
34.13333333,-58,35.054,1.416156704,1.3
34.13333333,-58,35,1.632248978,0.88
34.13333333,-58,34.994,1.821120763,0.43
34.13333333,-58,34.945,2.436572674,0.13
34.13333333,-58,34.919,3.499568033,0.27
34.13333333,-58,36.509,0.010076534,5
34.13333333,-58,36.444,0.090705092,4.72
34.13333333,-58,36.485,0.095745339,4.65
34.13333333,-58,36.418,0.182455304,4.67
34.13333333,-58,36.324,0.287358657,5.26
34.13333333,-58,36.199,0.396348721,4.64
34.13333333,-58,36.02,0.484184831,3.74
34.13333333,-58,35.972,0.533670906,4.2
34.13333333,-58,35.822,0.591250099,3.88
34.13333333,-58,35.603,0.645812468,3.14
34.13333333,-58,35.476,0.690280528,2.66
34.65,-56.91666667,36.595,0.012092433,6.35
34.65,-56.91666667,36.311,0.412518283,5.96
34.65,-56.91666667,35.23,0.842991679,1.43
34.65,-56.91666667,35.155,1.009947082,1.39
34.65,-56.91666667,35.159,1.154742705,1.52
34.65,-56.91666667,35.186,1.61912677,0.85
34.83333333,-55.71666667,36.216,0.536733476,4.53
34.83333333,-55.71666667,36.12,0.581182565,4.15
34.83333333,-55.71666667,36.068,0.625640479,3.53
34.83333333,-55.71666667,35.844,0.674150092,3.18
34.83333333,-55.71666667,35.727,0.722670219,3.06
34.83333333,-55.71666667,35.686,0.767156246,3.1
34.83333333,-55.71666667,35.49,0.812662469,1.48
34.83333333,-55.71666667,35.261,0.898643935,1.49
34.83333333,-55.71666667,35.166,0.994780006,1.26
34.83333333,-55.71666667,35.097,1.090957443,1.46
34.83333333,-55.71666667,35.079,1.285463607,1.41
34.83333333,-55.71666667,35.102,1.462895621,1.59
34.83333333,-55.71666667,35.019,2.013325627,0.44
34.83333333,-55.71666667,34.959,2.803773957,0.41
34.83333333,-55.71666667,34.954,3.202101328,0.28
34.83333333,-55.71666667,34.898,5.216969469,0.25
34.83333333,-55.71666667,36.254,0.530672919,4.58
34.83333333,-55.71666667,36.354,0.492293205,4.55
34.83333333,-55.71666667,36.432,0.417572625,5.02
34.83333333,-55.71666667,36.466,0.330766483,4.96
34.83333333,-55.71666667,36.489,0.280313244,5.02
34.83333333,-55.71666667,36.531,0.133054713,4.93
34.83333333,-55.71666667,36.555,0.114906243,4.41
34.83333333,-55.71666667,36.53,0.091718667,4.56
34.83333333,-55.71666667,36.08,0.033256285,4.39
28.96666667,-75.03333333,34.95,3.057525608,0.29
28.96666667,-75.03333333,36.45,0.370956968,5.06
28.96666667,-75.03333333,36.225,0.01208676,3.81
28.96666667,-75.03333333,34.951,2.251300959,0.11
28.96666667,-75.03333333,35.009,1.782773276,0.16
28.96666667,-75.03333333,35.048,1.256474507,0.65
28.96666667,-75.03333333,35.129,0.952820359,0.52
28.96666667,-75.03333333,35.555,0.741518038,1.6
28.96666667,-75.03333333,35.848,0.649577886,2.73
28.96666667,-75.03333333,36.176,0.545559271,4.23
35.38333333,-52.56666667,35.342,0.918923765,1.87
35.38333333,-52.56666667,35.217,0.968511454,1.43
35.38333333,-52.56666667,35.189,1.070757534,1.41
35.38333333,-52.56666667,35.069,1.170011346,1.5
35.38333333,-52.56666667,35.054,1.290593165,1.62
35.38333333,-52.56666667,35,1.672019975,1.18
35.38333333,-52.56666667,34.994,2.276945285,0.39
35.38333333,-52.56666667,34.945,3.033637733,0.15
35.38333333,-52.56666667,34.919,3.527593982,0.15
35.38333333,-52.56666667,34.972,5.811265651,0.06
35.38333333,-52.56666667,36.422,0.362070524,5.65
35.38333333,-52.56666667,36.313,0.030234228,4.58
36.05,-49.38333333,35.281,0.92606131,1.71
36.05,-49.38333333,35.279,1.010070856,2.32
36.05,-49.38333333,35.21,1.041456017,1.51
36.05,-49.38333333,35.128,1.136650884,1.82
36.05,-49.38333333,35.079,1.227832941,1.62
36.05,-49.38333333,35.064,1.331217644,1.53
36.05,-49.38333333,35.033,1.532042444,1.4
36.05,-49.38333333,35.009,1.7188298,1.01
36.05,-49.38333333,34.98,2.436982769,0.16
36.05,-49.38333333,34.952,3.29038856,0.25
36.05,-49.38333333,34.925,3.770598076,0.25
36.05,-49.38333333,34.897,5.595493072,0.24
36.05,-49.38333333,36.443,0.367138878,4.94
36.05,-49.38333333,36.249,0.036283679,4.76
36.51666667,-46,34.963,3.096272922,0.3
36.51666667,-46,34.99,2.49007327,0.3
36.51666667,-46,35.079,1.299845491,2
36.51666667,-46,35.053,1.106310847,2.22
36.51666667,-46,35.117,0.939256126,1.59
36.51666667,-46,35.3,0.840094813,1.34
36.51666667,-46,35.672,0.750078232,3.52
36.51666667,-46,35.856,0.652011501,3.84
36.51666667,-46,36.175,0.548936107,4.18
36.51666667,-46,36.428,0.386335149,4.89
36.51666667,-46,36.133,0.035277171,4.57
36.7,-44.51666667,35.158,0.810772778,2.49
36.7,-44.51666667,35.13,0.86135398,2.63
36.7,-44.51666667,35.203,0.908910744,1.44
36.7,-44.51666667,35.034,0.962550722,3.27
36.7,-44.51666667,35,2.545155637,0.26
36.7,-44.51666667,35.151,3.300808726,0.17
36.7,-44.51666667,35.029,3.78619459,0.24
36.7,-44.51666667,34.913,5.13943678,0.41
36.7,-44.51666667,35.333,0.77739545,2.26
36.7,-44.51666667,35.475,0.723799858,2.52
36.7,-44.51666667,35.682,0.678304241,3.93
36.7,-44.51666667,36.021,0.60654107,3.83
36.7,-44.51666667,35.979,0.574204625,4.03
36.7,-44.51666667,35.043,1.017216018,2.58
36.7,-44.51666667,36.087,0.540862557,2.35
36.7,-44.51666667,36.319,0.426728816,4.52
36.7,-44.51666667,36.348,0.01612628,4.18
36.7,-44.51666667,35.123,1.073920083,2.49
36.7,-44.51666667,35.152,1.117470474,2.08
